Covidence #,Study ID,Title,Reviewer Name,Study ID (dup),Title (dup),Journal Subject Area (Scimago classification),What is the type of study?,What are the objectives of the study?,Which RL technique is used?,Which finance application is tested?,What are the stated key results of the study?,What are the stated limitations of the study?,What asset classes are in the dataset?,What are the number of assets in the dataset?,What is the nature of the asset price dataset?,What is the granularity of the price dataset?,What is the format of the price dataset?,What other datasets are used in the study?,What is the time frame of time series data used?:,Date Start,Date End,Is all used and produced data made publicly available and referred to in the article?,Which continents are represented in the price dataset?,Is dataset quality discussed in article?,Is out-of-sample testing applied?,Was the model tested on diverse test sets?,Was the model tested across different datasets or applications?,Is the non-stationarity problem of financial markets explicitly addressed?,Are all performance results published to avoid post-selection?,Is the process of hyperparameter tuning explicitly described?,Which evaluation metrics are used?,Are results validated using statistical tests or confidence intervals?,Is the code or workflow made publicly available and referred to?,What is the implementation status?,Does the study conduct a benchmark?,What is the model benchmarked against?,Is a standard dataset used for all models?,Does study mention Transfer Learning or similar method as potential avenue for research?,Does study mention alternative generalization methods?,Does the study propose a framework to structure RL research in finance?
193,Lee 2023,Offline Reinforcement Learning for Automated Stock Trading,Mathis Jander,Lee2023,Offline Reinforcement Learning for Automated Stock Trading,"Computer Science, Engineering, Materials Science",Primary,Investigate the effectiveness of offline reinforcement learning (offline RL) for stock trading.,Value-based Method; Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Proposed Transformer Actor-Critic with Regularization (TACR).
Trained TACR offline on generated suboptimal data.
Showed that TACR performed well on stock trading compared to other state of the art methods.
Found that adding critic network and regularization improves performance",none,Equity (Stocks),179,Real-world Data,Daily,Time Series,,,20.10.2006,30.12.2021,No,Asia; Europe; North America,No,Yes,Different time series; Different timeframes,Yes,No,Yes,No,Sharpe ratio; PnL,No,Yes,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
193,Lee 2023,Offline Reinforcement Learning for Automated Stock Trading,Consensus,Lee2023,Offline Reinforcement Learning for Automated Stock Trading,"Computer Science, Engineering, Materials Science",Primary,Investigate the effectiveness of offline reinforcement learning (offline RL) for stock trading.,Value-based Method; Policy-based Method; Actor-Critic Method,Algorithmic Trading,"Proposed Transformer Actor-Critic with Regularization (TACR).
Trained TACR offline on generated suboptimal data.
Showed that TACR performed well on stock trading compared to other state of the art methods.
Found that adding critic network and regularization improves performance",none,Equity (Stocks),179,Real-world Data,Daily,Time Series,,,20.10.2006,30.12.2021,No,Asia; Europe; North America,No,Yes,Different time series; Different timeframes,Yes,No,Yes,No,Sharpe ratio; PnL,No,Yes,Simulation-based,Yes,Random or Naive Strategies; State of the Art Algorithms,Yes,No,No,No
192,Zengeler 2020,Contracts for Difference: A Reinforcement Learning Approach,Mathis Jander,Zengeler2020,Contracts for Difference: A Reinforcement Learning Approach,"Business, Management and Accounting; Economics, Econometrics and Finance",Primary,Develop a deep reinforcement learning framework for trading Contracts for Difference (CfDs) in a high-frequency setting.,Value-based Method,Algorithmic Trading,"Proved that there is a high-frequency trading system which outperforms market in simulation.
Showed through real-world application that additional parameters may compensate for a lower latency.","Did not investigate changing the training environment.
Did not investigate effect of adjusting for risk.
Only investigated Q-learning.
Did not compare proposed method to related concepts.
Only considered single trading symbol.
Used real-world trading account limited to 20 trading days.
Did not observer enough trades to make reliable statement about reliability in real-world setting.",Derivative,1,Real-world Data,Other: Tick level,Time Series,Market Data,,01.01.2019,31.07.2019,Yes,Europe,Yes,Yes,None,No,No,Yes,Yes,"PnL; Other: Equity curve, Trade distribution",No,Yes,Real-world deployment,No,n/a,n/a,Yes,Yes,No
192,Zengeler 2020,Contracts for Difference: A Reinforcement Learning Approach,Consensus,Zengeler2020,Contracts for Difference: A Reinforcement Learning Approach,"Business, Management and Accounting; Economics, Econometrics and Finance",Primary,Develop a deep reinforcement learning framework for trading Contracts for Difference (CfDs) in a high-frequency setting.,Value-based Method,Algorithmic Trading,"Proved that there is a high-frequency trading system which outperforms market in simulation.
Showed through real-world application that additional parameters may compensate for a lower latency.","Did not investigate changing the training environment.
Did not investigate effect of adjusting for risk.
Only investigated Q-learning.
Did not compare proposed method to related concepts.
Only considered single trading symbol.
Used real-world trading account limited to 20 trading days.
Did not observer enough trades to make reliable statement about reliability in real-world setting.",Derivative,1,Real-world Data,Other: Tick level,Time Series,Market Data,,01.01.2019,31.07.2019,Yes,Europe,Yes,Yes,None,No,No,Yes,Yes,"PnL; Other: Equity curve, Trade distribution",No,Yes,Real-world deployment,No,n/a,n/a,Yes,Yes,No
187,Yang 2022,A Selective Portfolio Management Algorithm with Off-Policy Reinforcement Learning Using Dirichlet Distribution,Mathis Jander,Yang2022,"A Selective Portfolio Management Algorithm with Off-Policy
Reinforcement Learning Using Dirichlet Distribution",Mathematics,Primary,"To develop a scalable, risk-sensitive portfolio management system.",Actor-Critic Method,Portfolio Management,"Proposed model using Dirichlet distribution, which is suitable for PM and off-policy learning.
Conducted experiments comparing on- and off-policy algorithms.
Showed that proposed model outperforms other algorithms and SOTA.
Designed model to adopt risk propensities based on investor preference.",none,Equity (Stocks),7,Real-world Data,Daily,Time Series,None,,01.06.2014,31.12.2021,No,Asia; North America,No,Yes,Different time series,Yes,No,Yes,,"Sharpe ratio; Max drawdown; Other: Cumulative return, Average  return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
187,Yang 2022,A Selective Portfolio Management Algorithm with Off-Policy Reinforcement Learning Using Dirichlet Distribution,Consensus,Yang2022,"A Selective Portfolio Management Algorithm with Off-Policy
Reinforcement Learning Using Dirichlet Distribution",Mathematics,Primary,"To develop a scalable, risk-sensitive portfolio management system.",Actor-Critic Method,Portfolio Management,"Proposed model using Dirichlet distribution, which is suitable for PM and off-policy learning.
Conducted experiments comparing on- and off-policy algorithms.
Showed that proposed model outperforms other algorithms and SOTA.
Designed model to adopt risk propensities based on investor preference.",none,Equity (Stocks),7,Real-world Data,Daily,Time Series,None,,01.06.2014,31.12.2021,No,Asia; North America,No,Yes,Different time series,Yes,No,Yes,No,"Sharpe ratio; Max drawdown; Other: Cumulative return, Average  return",No,No,Simulation-based,Yes,Random or Naive Strategies; Algorithmic Baselines; State of the Art Algorithms,Yes,No,Yes,No
182,Li 2024,Toward Automatic Market Making: An Imitative Reinforcement Learning Approach With Predictive Representation Learning,Mathis Jander,Li2024b,Toward Automatic Market Making: An Imitative Reinforcement Learning Approach With Predictive Representation Learning,"Computer Science, Mathematics",Primary,"Develop PIMMA, a Predictive and Imitative Market Making Agent",Actor-Critic Method,Market Making,"Developed PIMMA, which can leverage information contained in high-frequency LOB.
Designed action space using multi-level quotes.
Integrated trading knowledge from a linear signal-based expert into actor-critic RL framework.
Demonstrated outperformance of proposed approach against baselines.",none,Derivative,4,Real-world Data,Other: 500 Milisecond,Order Book,Market Data; News Data,,01.06.2021,31.07.2022,No,Asia,No,Yes,Different time series,No,,No,Yes,"Other: Episodic PnL, Mean absolute position, Return per trade, PnL-to-MAP ratio",No,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
182,Li 2024,Toward Automatic Market Making: An Imitative Reinforcement Learning Approach With Predictive Representation Learning,Consensus,Li2024b,Toward Automatic Market Making: An Imitative Reinforcement Learning Approach With Predictive Representation Learning,"Computer Science, Mathematics",Primary,"Develop PIMMA, a Predictive and Imitative Market Making Agent",Actor-Critic Method,Market Making,"Developed PIMMA, which can leverage information contained in high-frequency LOB.
Designed action space using multi-level quotes.
Integrated trading knowledge from a linear signal-based expert into actor-critic RL framework.
Demonstrated outperformance of proposed approach against baselines.",none,Derivative,4,Real-world Data,Other: 500 Milisecond,Order Book,Market Data; News Data,,01.06.2021,31.07.2022,No,Asia,No,Yes,Different time series,No,No,No,Yes,"Other: Episodic PnL, Mean absolute position, Return per trade, PnL-to-MAP ratio",No,No,Simulation-based,Yes,Algorithmic Baselines; State of the Art Algorithms,Yes,No,No,No
179,Lim 2024,Predictive crypto-asset automated market maker architecture for decentralized finance using deep reinforcement learning,Mathis Jander,Lim2024,"Predictive crypto-asset automated market 
maker architecture for decentralized finance 
using deep reinforcement learning.","Business, Management and Accounting; Economics, Econometrics and Finance",Primary,"Propose a quote-driven predictive automated market maker (AMM) plat-
form with on-chain custody and settlement functions, alongside off-chain predictive 
reinforcement learning capabilities, to improve the liquidity provision of real-world 
AMMs.",Value-based Method,Market Making,"Proposed quote-driven predictive platform.
Augmented Uniswap V3 cryptocurrency AMM protocol.
Enhanced liquidity utilisation in an AMM.",none,Crypto,1,Synthetic Data,Other: Ticker,Time Series,Market Data; None,,-,-,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series; Different timeframes,No,No,Yes,No,"Other: Liquidity utilisation, Price impact, Divergence loss, Slippage loss, ",No,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
179,Lim 2024,Predictive crypto-asset automated market maker architecture for decentralized finance using deep reinforcement learning,Consensus,Lim2024,"Predictive crypto-asset automated market 
maker architecture for decentralized finance 
using deep reinforcement learning.","Business, Management and Accounting; Economics, Econometrics and Finance",Primary,"Propose a quote-driven predictive automated market maker (AMM) plat-
form with on-chain custody and settlement functions, alongside off-chain predictive 
reinforcement learning capabilities, to improve the liquidity provision of real-world 
AMMs.",Value-based Method,Market Making,"Proposed quote-driven predictive platform.
Augmented Uniswap V3 cryptocurrency AMM protocol.
Enhanced liquidity utilisation in an AMM.",none,Crypto,1,Synthetic Data,Other: Ticker,Time Series,Market Data; None,,-,-,No,Africa; Asia; Australia and Oceania; Europe; North America; South America,No,Yes,Different time series; Different timeframes,No,No,Yes,No,"Other: Liquidity utilisation, Price impact, Divergence loss, Slippage loss, ",No,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
172,Chen 2021,Sentiment-influenced trading system based on multimodal deep reinforcement learning,Mathis Jander,Chen2021,Sentiment-influenced trading system based on multimodal deep reinforcement learning,Computer Science,Primary,To develop a multimodal reinforcement learning trading system that integrates news sentiment analysis for better decision-making.,Value-based Method,Algorithmic Trading,"Multimodal RL system is presented which creates profit from combining price information and news sentiment.
The result can help modelling human behavior in financial decision making.
Influence model helps agents to understand impact of news, increasing opportunities for profit.
This is first work to quantify the influence of news on in the field of finance and combine the results with RL.",none,Equity (Stocks),1,Real-world Data,Minute,Time Series,News Data,,01.01.2006,31.12.2020,No,North America,No,Yes,None,No,No,No,No,Other: Annual profit point (%),No,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
172,Chen 2021,Sentiment-influenced trading system based on multimodal deep reinforcement learning,Consensus,Chen2021,Sentiment-influenced trading system based on multimodal deep reinforcement learning,Computer Science,Primary,To develop a multimodal reinforcement learning trading system that integrates news sentiment analysis for better decision-making.,Value-based Method,Algorithmic Trading,"Multimodal RL system is presented which creates profit from combining price information and news sentiment.
The result can help modelling human behavior in financial decision making.
Influence model helps agents to understand impact of news, increasing opportunities for profit.
This is first work to quantify the influence of news on in the field of finance and combine the results with RL.",none,Equity (Stocks),1,Real-world Data,Minute,Time Series,News Data,,01.01.2006,31.12.2020,No,North America,No,Yes,None,No,No,No,No,Other: Annual profit point (%),No,No,Simulation-based,Yes,State of the Art Algorithms,Yes,No,No,No
